words,letterColor,corrAns,congruent,lettertest,corresp,neutral_trials.thisRepN,neutral_trials.thisTrialN,neutral_trials.thisN,neutral_trials.thisIndex,congruent_trials.thisRepN,congruent_trials.thisTrialN,congruent_trials.thisN,congruent_trials.thisIndex,incongruent_trials.thisRepN,incongruent_trials.thisTrialN,incongruent_trials.thisN,incongruent_trials.thisIndex,neutral_trials_2.thisRepN,neutral_trials_2.thisTrialN,neutral_trials_2.thisN,neutral_trials_2.thisIndex,congruent_trials_2.thisRepN,congruent_trials_2.thisTrialN,congruent_trials_2.thisN,congruent_trials_2.thisIndex,incongruent_trials_2.thisRepN,incongruent_trials_2.thisTrialN,incongruent_trials_2.thisN,incongruent_trials_2.thisIndex,two_back_trial.thisRepN,two_back_trial.thisTrialN,two_back_trial.thisN,two_back_trial.thisIndex,two_back_trial_.thisRepN,two_back_trial_.thisTrialN,two_back_trial_.thisN,two_back_trial_.thisIndex,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,inital_text.started,ready.started,instrText.started,resp.started,word.started,resp.keys,resp.corr,resp.rt,ready_2.started,instrText_2.started,ready_3.started,instrText_3.started,text.started,key_resp.started,key_resp.keys,key_resp.rt,bhastrika_vid.started,bhas_text.started,text_5.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_7.started,key_resp_3.started,key_resp_3.keys,key_resp_3.corr,sound_2.started,key_resp_3.rt,sound_2.stopped,text_7.stopped,key_resp_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_3.started,participant,date,expName,psychopyVersion,frameRate,
blue,black,b,0,,,0,35,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.85882429999765,368.85882429999765,b,1,0.8593929000198841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
black,black,x,1,,,0,36,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.2423311000457,370.2423311000457,x,1,0.5638813999248669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
blue,black,b,0,,,0,37,37,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.3257747000316,371.3257747000316,b,1,0.6413194999331608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
green,black,g,0,,,0,38,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.4926150999963,372.4926150999963,g,1,0.45844159997068346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
red,black,r,0,,,0,39,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.47610129998066,373.47610129998066,r,1,0.41933559998869896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
blue,black,b,0,,,0,40,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.42625200003386,374.42625200003386,b,1,0.5641842000186443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
red,black,r,0,,,0,41,41,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.50975259998813,375.50975259998813,r,1,0.3849272000370547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
blue,black,b,0,,,0,42,42,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.42657470004633,376.42657470004633,b,1,0.5244089999468997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
blue,black,b,0,,,0,43,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.4768088000128,377.4768088000128,r,0,0.4017098000040278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
black,black,x,1,,,0,44,44,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.41025549999904,378.41025549999904,x,1,0.6125861000036821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2023-03-31_13h55.17.573,divine,2022.2.5,59.923836795525055,
